name,distance,mass,radius
Pisces,36.1,53,
Cancer,66,,
Pictor,66.6,13.5,
Hydra,163.08,20,
Chamaeleon,538,17,2.2
Corona Borealis,58.3,63,
Ursa Major,50.2,25,
Bo�tes,103,,
Libra,19.0,52,
Pisces,155.3,11,
Ursa Major,126.2,,
Musca,337.25,20,
Pegasus,58.3,28,1.01
Sculptor,,,
Scorpius,473,14,
Sculptor,330,53,
Pictor,139,18.4,
Taurus,53.81,50,
Ophiuchus,241,15.5,
Monoceros,,63.4,1.12
Ursa Major,25.11,37,
Andromeda,43.9,13.98,
Lyra,51.9,23,
Virgo,53.81,35,
Eridanus,66.6,21,
Canes Venatici,55.44,17,
Hydra,81.54,54,
Gemini,302,18.1,
Ursa Major,698,15.2,
Aquarius,58.7,60,
Perseus,163,14.3,
Triangulum,603.4,14,
Fornax,83.92,39,
Andromeda,124.75,14,
Crux,7097,19.8,
Bo�tes,31.5,116,
Perseus,146.77,40,
Chamaeleon,522,18,
Monoceros,4000,17,
Serpens,123.5,34,
Orion,138,37,
Indus,11.8,28,
Virgo,590,19.23,
Virgo,37.55,12.5,1.1
Sculptor,136,60,
Lepus,19,40,
Octans,111,13.3,1.7
Indus,11.8,47,
Apus,180.8,18.15,
Serpens,171,42,
Corona Borealis,156.42,46,
Lupus,400,42,1.8
Scorpius,101.95,15.0,
Ophiuchus,152.8,21.9,
Telescopium,127.52,46,
Pavo,12.57,40,
Aquila,2220,21.66,1.01
Sagitta,57.7,65,
Delphinus,220,55,
Capricornus,151.14,17.4,
PSR B1257+12 b,1957,0.02 earths,1994
Kepler-444 b,119,0.0374 earths,2015
Kepler-138 b,219,0.066 earths,2014
Kepler-444 c,119,0.0793 earths,2015
Kepler-1308 b,238,0.0933 earths,2016
Kepler-444 e,119,0.1 earths,2015
Kepler-35 b,5366,0.127 jupiters,2011
Kepler-494 b,2812,0.127 jupiters,2016
Kepler-849 b,2437,0.127 jupiters,2016
WASP-156 b,457,0.128 jupiters,2017
Kepler-42 d,126,0.13 earths,2011
Kepler-1085 b,4952,0.13 jupiters,2016
K2-271 b,1864,0.131 jupiters,2018
Kepler-111 c,2185,0.132 jupiters,2014
Kepler-297 c,2304,0.132 jupiters,2014
Kepler-83 b,1321,0.132 jupiters,2012
HD 95338 b,121,0.13353 jupiters,2020
Kepler-682 b,3102,0.134 jupiters,2016
Kepler-9 b,2003,0.13655 jupiters,2010
HATS-8 b,2704,0.138 jupiters,2015
K2-121 b,556,0.138 jupiters,2017
K2-11 b,1084,0.14 jupiters,2015
Kepler-326 b,1612,0.14 jupiters,2014
55 Cancri f,41,0.141 jupiters,2007
K2-87 b,1643,0.141 jupiters,2016
Kepler-226 c,3289,0.142 jupiters,2014
Kepler-952 b,3807,0.143 jupiters,2016
K2-280 b,1295,0.144 jupiters,2018
Kepler-118 c,1904,0.144 jupiters,2014
Kepler-489 b,1236,0.145 jupiters,2016
OGLE-2012-BLG-0026L b,13110,0.145 jupiters,2012
WASP-182 b,1079,0.148 jupiters,2019
CoRoTID 223977153 b,1912,0.15 jupiters,2017
HD 177830 c,205,0.15 jupiters,2010
HIP 38594 c,58,0.15228 jupiters,2020
Kepler-1656 b,610,0.15291 jupiters,2018
Kepler-297 b,2304,0.153 jupiters,2014
Kepler-279 c,3488,0.155 jupiters,2013
Kepler-1583 b,1165,0.156 earths,2016
HD 104067 b,66,0.16 jupiters,2009
K2-281 b,1520,0.16 jupiters,2018
Kepler-101 b,3110,0.16 jupiters,2014
Kepler-108 c,2378,0.16 jupiters,2014
MOA-2009-BLG-319L b,19898,0.16 jupiters,2010
Kepler-703 b,4834,0.161 jupiters,2016
HD 27894 c,143,0.162 jupiters,2017
Kepler-1087 b,1155,0.165 earths,2016
Kepler-855 b,3402,0.166 jupiters,2016
K2-127 b,2362,0.167 jupiters,2017
OGLE-2012-BLG-0838L b,20616,0.167 jupiters,2020
HD 34445 c,151,0.168 jupiters,2017
Kepler-628 b,1889,0.168 jupiters,2016
Kepler-720 b,2871,0.168 jupiters,2016
K2-89 b,281,0.17 earths,2016
BD-06 1339 c,66,0.17 jupiters,2013
HD 102117 b,129,0.17 jupiters,2005
Kepler-1513 b,1253,0.17 jupiters,2016
KELT-11 b,324,0.171 jupiters,2017
55 Cancri c,41,0.1714 jupiters,2004
Kepler-719 b,4655,0.172 jupiters,2016
HATS-46 b,1461,0.173 jupiters,2018
WASP-18 c,404,0.17368 jupiters,2019
OGLE-2014-BLG-1722L b,20877,0.17399 jupiters,2018
HD 117618 b,123,0.174 jupiters,2004
Kepler-123 b,3432,0.174 jupiters,2014
Kepler-108 b,2378,0.176 jupiters,2014
Kepler-148 d,2640,0.177 jupiters,2016
Kepler-282 e,4537,0.177 jupiters,2013
HATS-62 b,1686,0.179 jupiters,2018
V1298 Tauri e,354,0.179 jupiters,2019
AU Microscopii b,32,0.18 jupiters,2020
OGLE-2008-BLG-092L b,26422,0.18 jupiters,2014
WASP-127 b,333,0.18 jupiters,2016
Kepler-416 b,2299,0.183 jupiters,2014
Kepler-890 b,4524,0.184 jupiters,2016
Kepler-491 b,2143,0.186 jupiters,2016
K2-108 b,1582,0.18689 jupiters,2017
HD 45364 b,112,0.1872 jupiters,2008
Kepler-950 b,4857,0.188 jupiters,2016
Kepler-817 b,4570,0.189 jupiters,2016
HD 221416 b,310,0.19 jupiters,2019
OGLE-2011-BLG-0173L b,19898,0.19 jupiters,2018
K2-289 b,883,0.192 jupiters,2019
Kepler-282 d,4537,0.192 jupiters,2013
Kepler-702 b,2910,0.194 jupiters,2016
Kepler-1371 c,1468,0.196 earths,2016
Kepler-695 b,2022,0.196 jupiters,2016
HAT-P-18 b,541,0.197 jupiters,2010
Kepler-856 b,3833,0.199 jupiters,2016
Kepler-444 d,119,0.2 earths,2015
HD 137388 b,132,0.2 jupiters,2011
HD 218566 b,94,0.2 jupiters,2010
HD 220197 b,210,0.2 jupiters,2018
WASP-126 c,763,0.20199 jupiters,2019
Kepler-277 c,3278,0.202 jupiters,2013
Kepler-92 b,1581,0.202 jupiters,2013
HD 10180 h,127,0.2066 jupiters,2010
HD 21411 b,95,0.20734 jupiters,2019
Kepler-1351 b,786,0.208 earths,2016
Kepler-1542 c,1096,0.208 earths,2016
Kepler-1515 b,1644,0.208 jupiters,2016
Kepler-363 c,2544,0.209 jupiters,2014
HD 8326 b,100,0.20955 jupiters,2019
HD 107148 b,161,0.21 jupiters,2005
HD 76700 b,199,0.21 jupiters,2002
Kepler-492 b,2094,0.21 jupiters,2016
HAT-P-12 b,465,0.211 jupiters,2009
Kepler-413 b,2833,0.211 jupiters,2014
Kepler-714 b,4763,0.213 jupiters,2016
